"calBP","conSW","decSW","wetwSW","wetmSW","pasSW","araSW","heaSW"
700,2.1178659460721,2.86378500669057,0.845988950750439,0.462268255370992,0.68217656255047,0.0250394000973326,0.372680909354666
800,2.61532176427841,3.99583583436898,1.15359471703692,0.656730533657383,1.05392974487775,0.0444238489298625,0.694492237636044
900,1.54014448874146,2.58987266664586,0.719271397579195,0.301152741293925,0.653269480726991,0.039077571843944,0.364200415541677
1000,1.9610521436345,3.73356220191302,1.14926804177521,0.456960823828752,0.91973909302476,0.0414376081389643,0.427871994740096
1100,1.85409349618239,3.12009910915111,0.660399019168447,0.447558796123981,0.745608357943026,0.0495978522710665,0.38746677720431
1200,1.2397483164126,2.63758281545806,0.679993944290922,0.246716001985819,0.520330930826353,0.0149489311266275,0.265951064791632
1300,1.6580147149231,2.51236118813006,0.592047739459141,0.366648646023902,0.560015751307296,0.00785177125366855,0.233966539491121
1400,1.42539427519144,1.91941750653698,0.614240861802316,0.185151685968912,0.510985312691721,0.00911064068982772,0.21121386458547
1500,1.88341026501398,2.82283433557038,0.96254393967149,0.293154463386299,0.517245956470304,0.018321881490597,0.326059934435271
1600,1.48304873889682,2.26251244046634,0.794850055982472,0.310693590204509,0.537478134455796,0.0107086889883844,0.245349278018837
1700,1.54995582425701,2.79783616918066,1.07544249224291,0.379360664186362,0.510237211259976,0.0142400259366269,0.247097119733797
1800,1.80845762664069,2.36102327237912,0.701862484692558,0.627180562401205,0.727350770987401,0.0165267090248465,0.435693150207311
1900,2.91905808368852,3.82834126487777,1.23831453157125,0.591456117287183,0.931160326335293,0.0252414818751371,0.514340921603866
2000,2.1937294034705,2.53783436911737,0.673345249983765,0.534042965036996,0.628684707745759,0.0133040986974498,0.404213601156109
2100,1.88661324332865,2.23014914567922,0.709735255450444,0.281872780953484,0.379786217218886,0.0182692791508312,0.270934248670247
2200,1.96496929459799,3.02534821373254,0.949980328920924,0.388081393894925,0.66710163499065,0.0166354857223327,0.337251151205553
2300,2.54670609384916,2.80226742665104,0.885174319156677,0.359345673245084,0.666702504680584,0.0170484067637533,0.359273679395967
2400,1.17134317656836,1.9746559936187,0.724341437169369,0.260427715399172,0.44636652368213,0.0075620642820755,0.19711543829316
2500,2.78618921097034,3.65645682381288,1.20444010227088,0.420807025879053,0.702328187078711,0.0208360285905007,0.384675062021608
2600,1.9468596650826,2.18199409085102,0.68481743588662,0.372136214061502,0.47911610576322,0.00471060467495478,0.207165156650971
2700,2.01983461523955,2.58440913271324,0.735862561320064,0.244773475530831,0.584144910847085,0.0219397659392976,0.275088864368329
2800,1.72066075597167,2.28263447493197,0.748337623124454,0.357725364671136,0.518024256955787,0.00958583399049815,0.272550422058745
2900,2.13721850767788,2.72231163271163,0.784128252764565,0.330928006554055,0.545657091025475,0.0125578241328069,0.309338227176972
3000,1.90886792822702,2.61970714971042,0.952399876503521,0.320717887617682,0.50968520006927,0.00624281162370399,0.256112885145011
3100,1.87180099296792,2.43135723024128,0.836533288964541,0.229446597725491,0.349065004229125,0.00793304195653458,0.293903389652701
3200,1.91697991038205,2.29642062907015,0.701585527532742,0.269286143331486,0.414978637844548,0.0110920906036179,0.197188792818147
3300,1.58877615817867,2.35116083041948,0.753376280605759,0.102633753370427,0.173484213282821,0.0055359921413552,0.142938873463302
3400,1.83401703506854,2.75926875449745,0.923844517847406,0.302332361204903,0.494513975731167,0.00878927898339608,0.223541664928233
3500,1.94392258721257,3.03185768167987,0.932866102978442,0.23788432862147,0.391331923656689,0.013027072229108,0.212006536587226
3600,0.891251364774115,1.52498131975421,0.513425832800675,0.134351812402763,0.178796813135211,0.00834354079030728,0.131703593764486
3700,2.21948330914932,2.49634680640069,0.917292052399854,0.241584065289926,0.381352710575019,0.00736491345231529,0.213949396539723
3800,1.67812274863661,2.13529604755787,0.746931268084526,0.181655587047799,0.26198306878197,0.0087492862989771,0.216321476126424
3900,1.27192385334774,1.67066201867697,0.538853437831123,0.160816293165694,0.27262127329147,0.00460431793417995,0.146793123682856
4000,1.27002328950981,1.17942376644919,0.332065789926097,0.125086086957039,0.242751680873284,0.00578678839957035,0.151606118948671
