"calBP","pasSE"
500,0.436395343754222
600,0.456643087290205
700,0.282815653864872
800,0.271764994212002
900,0.35783373777891
1000,0.258464134534429
1100,0.37198857351091
1200,0.402847901452545
1300,0.387666286273047
1400,0.298451753499983
1500,0.104210202402446
1600,0.0882085008252366
1700,0.0840721159843213
1800,0.0887780776038582
1900,0.0954586013404142
2000,0.0328485446913801
2100,0.0872195878113311
2200,0.2580364418809
2300,0.029662338195976
2400,0.0926453483605581
2500,0.04025929079983
2600,0.0419790099210518
2700,0.0647506006208937
2800,0.0559415805104902
2900,0.104608228150471
3000,0.0886398167859456
3100,0.113726621011521
3200,0.121424897399712
3300,0.229569861153684
3400,0.161048130893549
3500,0.103653836277133
3600,0.109326763891087
3700,0.112078144943024
3800,0.0879169266727495
3900,0.114441302982759
4000,0.0609546221735602
4100,0.0830515914620021
4200,0.100527435133998
4300,0.0997597526865876
4400,0.0570636661343718
4500,0.0669601066230868
4600,0.0417723934782228
4700,0.0855948123334207
4800,0.0419611622036973
4900,0.0169074867237126
5000,0.0225061398252833
5100,0.0293929943321929
5200,0.0283533897513599
5300,0.126776411851006
5400,0.0581179038492849
5500,0.0211947078219725
5600,0.0126363692554934
5700,0.0710502460225902
5800,0.0406451233442957
5900,0.037119437698918
6000,0.064624075683049
6100,0.0502531190881371
6200,0.0499386756379772
6300,0.0760064868302654
6400,0.0522862395180504
6500,0.0427616953814901
6600,0.0619603284057482
6700,0.0856077060250039
6800,0.0783184053153546
6900,0.0428544570327129
7000,0.0588350166424463
7100,0.0856079589707934
7200,0.132374574552524
7300,0.10165827814121
7400,0.0536313719449481
7500,0.0614509216826261
7600,0.0848106674418303
7700,0.14878051697951
7800,0.0437921891047615
7900,0.0099949835184051
8000,0.0823791371947843
8100,0.0477573685059916
8200,0.216298984802591
8300,0.135945191571123
8400,0.0638252035603956
8500,0.115549368912439
8600,0.0657176914337814
8700,0.395669080958572
8800,0.271017000808594
8900,0.0764323560658729
9000,0.708243163459246
9100,0.127424243541963
9200,0.468104976654391
9300,0.320016990368834
9400,0.458859391523819
9500,0.337396294019916
9600,0.258140843053927
9700,0.439084730397341
