"calBP","heaSE"
500,0.573061423486065
600,0.417829283470157
700,0.297360099620587
800,0.382525607062715
900,0.187130666937924
1000,0.208111432609391
1100,0.672071547735808
1200,1.54714824812289
1300,0.606067455821377
1400,0.094043303482608
1500,0.214900222612851
1600,0.0890302515992193
1700,0.112381416784468
1800,0.0746801006743233
1900,0.0770176345772485
2000,0.0395300836353543
2100,0.227205323393338
2200,0.264719395561803
2300,0.1357333186481
2400,0.476847044864185
2500,0.0780905746704761
2600,0.146514817763377
2700,0.105771225909593
2800,0.223051533148983
2900,0.0755197632890943
3000,0.0814955474096643
3100,0.152022352242925
3200,0.0395630849327474
3300,0.0626250628250034
3400,0.0460082627032244
3500,0.223932912085694
3600,0.0213423247317938
3700,0.0430195728146657
3800,0.0481822228650229
3900,0.10036783701714
4000,0.0261774686669196
4100,0.0776052570043399
4200,0.0397705789805387
4300,0.0502069437466825
4400,0.0944698898047576
4500,0.0451173172803588
4600,0.153447855987283
4700,0.0147620334330247
4800,0.0794579310255877
4900,0.00738552437223043
5000,0.0740057962869351
5100,0.0220535523247991
5200,0.0386272850870188
5300,0.0358028204225675
5400,0.0177669307603101
5500,0.132328384544923
5600,0.00196634422227029
5700,0.0519535908330016
5800,0.0322600174393126
5900,0.0466058186420536
6000,0.0244199951743349
6100,0.030572544391895
6200,0.0847861755696193
6300,0.0106966943966414
6400,0.0230734297449625
6500,0.110838854180516
6600,0.0233414912325249
6700,0.0282225214807134
6800,0.191401137350444
6900,0.0291980565563926
7000,0.00770393194621155
7100,0.0348302047123698
7200,0.00461601925075451
7300,0.00945276197194659
7400,0.0263113473772615
7500,0.00863898587373728
7600,0.00696983412300695
7700,0.0426800680344112
7800,0.00537293420902565
7900,0.00155400155400155
8000,0.00943014764152884
8100,0.018329268014817
8200,0.0141499339211706
8300,0.0298680799261593
8400,0.00951185750585222
8500,0.0213690546922934
8600,0.0221439737002576
8700,0.0216345273791486
8800,0.0290434107990632
8900,0.0117821011673152
9000,0.0113619957256514
9100,0.0356219095195221
9200,0.026113612899323
9300,0.0198239893306414
9400,0.0427891391218478
9500,0.0367902706317661
9600,0.0318899124216779
9700,0.0152625075236525
