"calBP","heaN"
1400,0.454216105763624
1500,0.372810263810412
1600,1.22931679371047
1700,0.827314672864857
1800,0.744342066222825
1900,0.508267085454043
2000,0.508568789150086
2100,0.585315879986957
2200,0.218914790079365
2300,0.558115356989291
2400,0.900372858537104
2500,0.384120616734935
2600,0.703298252521429
2700,0.610740202345154
2800,0.395570211271293
2900,0.704022264391458
3000,0.271873349377238
3100,0.737166155878388
3200,0.327130560385678
3300,0.630640519455068
3400,0.472357434191831
3500,0.57953861333629
3600,0.469192429691173
3700,0.903648442514931
3800,0.675189744083018
3900,0.487100604656531
4000,0.412534936817736
4100,0.53727421274773
4200,0.463228331258217
4300,0.23681178045664
4400,0.598467512369838
4500,0.400887947118254
4600,0.330370444439216
4700,0.505920982100263
4800,0.617603101716059
4900,0.581871974083519
5000,0.468154911625592
5100,0.487700280488518
5200,0.328601681652686
5300,0.526888230872241
5400,0.553693374552583
5500,0.583212699782812
5600,0.460858169069356
5700,0.253143923365809
5800,0.628619738273365
5900,0.330060687391844
6000,0.362120824712209
6100,0.471156128472314
6200,0.204487383937718
6300,0.44957385481767
6400,0.306664676603313
6500,0.499988716650331
6600,0.270296528813269
6700,0.262072603699141
6800,0.262868635876869
6900,0.200589218142534
7000,0.20597915417355
7100,0.357432822261158
7200,0.116750167048379
7300,0.35835282548396
7400,0.21189676437729
7500,0.348163927389234
7600,0.625033868362094
7700,0.230824976062353
7800,0.629969345115256
7900,0.507894978365926
8000,0.386954303668088
8100,0.439712578023108
8200,0.400119108849295
8300,0.53676443945196
8400,0.1956553341633
8500,0.538160568890908
8600,0.241765539014265
8700,0.317068636376136
8800,0.168711306394215
8900,0.290568624314899
9000,0.295285039685578
9100,0.0639639585135711
9200,0.476887888862884
9300,0.120337134853942
9400,0.209562720493158
9500,0.267306915942955
9600,0.135700049107832
9700,0.427447204685581
