"calBP","decMM"
700,1.37755305636907
800,1.25603334588657
900,1.5666214075594
1000,1.95835093916207
1100,1.18197117035328
1200,1.86570870894191
1300,2.06317959073474
1400,2.06857630086934
1500,2.16442872607157
1600,2.51506104743677
1700,1.62820291548884
1800,2.14598580441303
1900,2.58487097998424
2000,2.32208217305958
2100,3.2702393185502
2200,1.70744044664057
2300,2.33341880747571
2400,3.3864925121738
2500,2.57333564130195
2600,3.93203018436465
2700,2.32776276879578
2800,3.97300599475063
2900,3.90823521825901
3000,2.72705299909563
3100,3.59100462883216
3200,4.03345440660224
3300,3.65225657021492
3400,3.61926980220405
3500,2.07222004574343
3600,2.87058131420218
3700,4.84531029436432
3800,4.34911988314083
3900,3.454687921549
4000,3.14272202771805
4100,3.99548374322582
4200,2.27289975243348
4300,2.92976655114533
4400,3.52422702199177
4500,1.90699934994283
4600,3.14728831082865
4700,2.76537984760507
4800,2.28321025926065
4900,1.94752335463909
5000,3.02120312403134
5100,3.42427996590491
5200,3.40808867565083
5300,3.33918493008609
5400,2.38121822260455
5500,3.39527657446334
5600,3.87656228432877
5700,2.40145135883859
5800,2.89554385234106
5900,3.95659444363329
6000,2.17138934855823
6100,2.39867458921697
6200,2.57525694221178
6300,3.31710761279413
6400,1.97421535636431
6500,2.39846985575839
6600,2.6696067690008
6700,2.81473129912092
6800,2.20971005509306
6900,3.04842905179429
7000,3.05301093170456
7100,2.13270207296001
7200,3.30153744176414
7300,2.4051763477959
7400,2.98494248344188
7500,3.72943568570526
7600,1.49877169157636
7700,3.66368507296122
7800,1.96137113092897
7900,1.61008831122107
8000,2.11685745614249
8100,3.35260371552775
8200,3.06458616665969
8300,2.80901986102129
8400,1.80810108854177
8500,2.82909260214946
8600,2.08244452929395
8700,2.035524672441
8800,1.66147225830033
8900,1.70790901750485
9000,1.53499084295059
9100,1.79890243886813
9200,1.27530651967548
9300,0.899732714645544
9400,1.19464857217557
9500,1.77733038438775
9600,1.08516072203823
9700,1.06326926269666
