names.bigdf_familynames.,LCC
Malvaceae,NA
Matteuccia,wet woodland
Matteuccia.struthiopteris,wet woodland
meantimes,NA
Melampyrum,coniferous woodland
Mentha,NA
Menyanthes.trifoliata,wet meadow
Mercurialis,deciduous woodland
Mercurialis.perennis,deciduous woodland
Micranthes.nivalis,deciduous woodland
Micranthes.nivalis.M..tenuis,deciduous woodland
Micranthes.stellaris,wet meadow
Monotropa,NA
Myrica,water
Myrica.gale,water
Myricaria,water
Myricaria.germanica,water
Myriophyllum,water
Myriophyllum.alterniflorum,water
Myriophyllum.spicatum,water
Myriophyllum.spicatum.M..verticillatum,water
Myriophyllum.verticillatum,water
Narthecium.ossifragum,wet meadow
Nuphar,water
Nuphar.pumila,water
Nymphaea,water
Nymphaea.alba,water
Nymphaeaceae,water
Onagraceae,NA
Onobrychis,pasture
Ophioglossum,wet meadow
Ophioglossum.vulgatum,wet meadow
Orchidaceae,NA
Osmunda.regalis,water
Oxalis,NA
Oxyria,wet meadow
Oxyria.digyna,wet meadow
Oxytropis,cliff
Papaver.radicatum,arable
Papaver.rhoeas,arable
Parnassia,wet meadow
Parnassia.palustris,wet meadow
Pedicularis,wet meadow
Pedicularis.palustris,wet meadow
Persicaria.amphibia,water
Persicaria.maculosa,arable
Peucedanum,wet meadow
Phegopteris.connectilis,wet woodland
Phragmites,water
Picea,coniferous woodland
Picea.abies,coniferous woodland
Pimpinella,pasture
Pimpinella.saxifraga,pasture
Pinguicula,wet meadow
Pinus,coniferous woodland
Pinus.sylvestris,coniferous woodland
Plantago,pasture
Plantago.coronopus,water
Plantago.lanceolata,pasture
Plantago.major,arable
Plantago.major.P..media,arable
Plantago.maritima,wet meadow
Plantago.media,pasture
Plantago.uniflora,water
Poaceae,pasture
Polygala,pasture
Polygonaceae,NA
Polygonatum,deciduous woodland
Polygonatum.verticillatum,deciduous woodland
Polygonum.aviculare,arable
Polypodiaceae,NA
Polypodium,NA
Polypodium.vulgare,NA
Polystichum,NA
Populus,deciduous woodland
Populus.tremula,deciduous woodland
Portulaca,ruderal
Potamogeton,water
Potentilla,ruderal
Potentilla.recta,ruderal
Primula,pasture
Primula.farinosa,pasture
Primulaceae,NA
Prunus,deciduous woodland
Prunus.padus,deciduous woodland
Pteridium,NA
Pteridium.aquilinum,NA
Quercus,deciduous woodland
Ranunculaceae,NA
Ranunculus,pasture
Ranunculus.acris,pasture
Ranunculus.glacialis,cliff
Ranunculus.trichophyllus,water
Rhamnus,deciduous woodland
Rhamnus.cathartica,deciduous woodland
Rhinanthus,pasture
Rhododendron.tomentosum,wet woodland
Rhynchospora,wet meadow
Rhynchospora.alba,wet meadow
Ribes,NA
Rosa,NA
Rosaceae,NA
Rubiaceae,pasture
Rubus,wet woodland
Rubus.chamaemorus,wet woodland
Rubus.fruticosus,wet woodland
Rubus.idaeus,wet woodland
