"yearsBP","conMM","decMM","wetwMM","wetmMM","pasMM","araMM","heaMM","SPD","clim","conMMs","decMMs","wetwMMs","wetmMMs","pasMMs","araMMs","heaMMs"
5000,3187,3621,611,72,72,5,131,0.0201920687468241,1.00423943562,2839.2,3797.4,672,49.125,51.6666666666667,5.8,87.6666666666667
4900,2437,2735,390,25,14,2,24,0.0299519922547222,0.92569126536,2916,3790.4,613.75,47.375,44.6666666666667,5.6,73.6666666666667
4800,2079,2839,521,51,46,9,54,0.0299512707038206,1.14406955423,2745.2,3552.6,583.25,45.875,44,5.4,69.6666666666667
4700,2821,3542,565,40,51,4,79,0.0215350296716837,1.50192229509,2725,3434,521.75,45.5,37,5,52.3333333333333
4600,3452,4014,655,59,66,4,48,0.0207456248615014,1.69647915454,2795.2,3350.2,532.75,48.875,54.3333333333333,4.8,60.3333333333333
4500,1893,2170,300,21,18,3,22,0.0213598609025645,1.13870943504,2536.4,3060,510.25,44.875,45,4.4,49.6666666666667
4400,3345,3803,670,49,55,5,96,0.0133351223081813,1.42970555594,2718,3273.6,547.5,45.25,46.3333333333333,5,55.3333333333333
4300,2359,3343,474,60,52,7,64,0.014472923079894,0.832283065862,2774,3374.4,524.75,47.125,41.6666666666667,4.6,60.6666666666667
4200,3102,2969,504,28,22,4,36,0.0175769221759519,0.946767395703,2830.2,3259.8,487,41.625,43,4.6,65.3333333333333
4100,5108,4514,801,106,98,9,137,0.0159622387367713,0.95979330649,3161.4,3359.8,612.25,51.75,57.3333333333333,5.6,79
4000,3973,3804,571,52,55,4,40,0.0134922857896518,1.31184485593,3577.4,3686.6,587.5,51.875,58.3333333333333,5.8,71
3900,4490,4442,622,71,89,7,128,0.0127414326675369,1.7654450172,3806.4,3814.4,624.5,55.75,80.6666666666667,6.2,101.666666666667
3800,5298,5284,810,62,69,14,78,0.0120272198999638,0.78069654553,4394.2,4202.6,701,56.125,71,7.6,82
3700,7413,5903,876,81,92,14,89,0.0139312134669195,1.32575054696,5256.4,4789.4,719.75,63.625,83.3333333333333,9.6,98.3333333333333
3600,3507,3264,512,95,107,9,176,0.0247321625455589,1.35458361939,4936.2,4539.4,705,69.375,89.3333333333333,9.6,114.333333333333
3500,2664,2604,450,33,35,8,45,0.0393361603397865,1.42873396391,4674.4,4299.4,662,66,78,10.4,103.333333333333
3400,4303,4391,586,75,100,11,99,0.0395159330638826,0.992621550252,4637,4289.2,606,71.875,80.6666666666667,11.2,106.666666666667
3300,3763,4371,604,56,69,10,98,0.0397021037732623,0.955663861995,4330,4106.6,538,65.625,68,10.4,80.6666666666667
3200,4771,5058,797,67,60,9,80,0.0409536607036616,1.42658274261,3801.6,3937.6,609.25,67.5,76.3333333333333,9.4,92.3333333333333
3100,4752,4827,677,77,91,16,142,0.0427013398878816,1.71145815462,4050.6,4250.2,666,68.25,73.3333333333333,10.8,106.666666666667
3000,4316,3623,651,54,48,5,55,0.0407425092035893,1.95975330237,4381,4454,682.25,67.25,66.3333333333333,10.2,92.3333333333333
2900,4366,4626,740,86,145,15,144,0.05326010334218,2.05997101612,4393.6,4501,716.25,67.875,94.6666666666667,11,113.666666666667
2800,5589,5073,769,64,53,3,81,0.0628627846105848,1.66680303854,4758.8,4641.4,709.25,64,82,9.6,93.3333333333333
2700,3340,2983,606,46,53,7,62,0.0721976210356251,1.42451888806,4472.6,4226.4,691.5,65.625,83.6666666666667,9.2,95.6666666666667
2600,5900,4728,667,110,120,6,173,0.0696767213094019,0.796751735433,4702.2,4206.6,695.5,70,75.3333333333333,7.2,105.333333333333
2500,3366,2966,454,36,57,8,66,0.0667118417251671,0.962712806438,4512.2,4075.2,624,67.5,76.6666666666667,7.8,100.333333333333
2400,5103,4158,682,119,156,14,156,0.081901911731574,0.660299150714,4659.6,3981.6,602.25,74,111,7.6,131.666666666667
2300,2992,2882,550,86,125,6,91,0.123704493125216,0.634668119995,4140.2,3543.4,588.25,75.125,112.666666666667,8.2,104.333333333333
2200,2014,1929,380,27,47,2,26,0.151103733760014,0.955127905031,3875,3332.6,516.5,71.75,109.333333333333,7.2,91
2100,4814,3753,694,97,129,4,126,0.16311762507111,-0.0513365879145,3657.8,3137.6,576.5,73.125,100.333333333333,6.8,81
2000,3993,2782,582,90,149,14,118,0.177689423342968,0.810911746516,3783.2,3100.8,551.5,76.375,108.333333333333,8,90
1900,4886,3126,538,98,167,9,194,0.17096562603754,0.737202717423,3739.8,2894.4,548.5,82.875,148.333333333333,7,146
1800,4693,2553,491,103,139,14,171,0.191963929109422,1.47358998239,4080,2828.6,576.25,82,151.666666666667,8.6,161
1700,3968,1904,379,34,89,11,54,0.236545094406955,1.60228615144,4470.8,2823.6,497.5,81.75,131.666666666667,10.4,139.666666666667
1600,5355,3016,520,121,166,14,201,0.266513044728602,1.76118481384,4579,2676.2,482,82,131.333333333333,12.4,142
1500,3979,2719,462,104,191,16,177,0.332243641556822,1.56973181325,4576.2,2663.6,463,84.25,148.666666666667,12.8,144
1400,4330,2633,484,111,197,27,229,0.359110936062394,0.547511723835,4465,2565,461.25,94.75,184.666666666667,16.4,202.333333333333
1300,3188,2308,468,99,213,23,233,0.251758092487332,1.06050311335,4164,2516,483.5,95,200.333333333333,18.2,213
1200,4057,2327,454,120,245,21,260,0.176356689418615,1.18697896833,4181.8,2600.6,467,98.75,218.333333333333,20.2,240.666666666667
1100,2840,1701,229,125,225,17,203,0.175023098610283,0.705442369664,3678.8,2337.6,408.75,102.125,227.666666666667,20.8,232
1000,4530,2286,333,74,169,30,209,0.234674812994463,0.958469025578,3789,2251,371,98.5,213,23.6,224
900,4498,1941,387,101,231,31,248,0.27705727284132,0.922074022749,3822.6,2112.6,350.75,106.875,208.333333333333,24.4,220
800,3434,1668,264,96,201,33,269,0.347245778233131,0.72810057902,3871.8,1984.6,303.25,103.75,200.333333333333,26.4,242
700,2988,1424,232,93,211,23,246,0.412313865107004,0.450012901585,3658,1804,304,102.375,214.333333333333,26.8,254.333333333333
