"yearsBP","conSW","decSW","wetwSW","wetmSW","pasSW","araSW","heaSW","SPD","clim","conSWs","decSWs","wetwSWs","wetmSWs","pasSWs","araSWs","heaSWs"
4000,812,766,217,83,161,4,103,0.0190977044900407,5.79126554362,962.25,1424,403.2,129.333333333333,196,9,131
3900,843,1116,358,104,175,3,93,0.0276060452592244,6.21671981472,1026.25,941,365.2,106,168,3.5,98
3800,1131,1461,507,126,183,6,154,0.0284488075846838,5.05105049642,1013.25,1288.5,422.8,104.333333333333,179,4.5,123.5
3700,1559,1827,674,171,271,5,151,0.0475812682402387,5.5163085395,1086.25,1644,494.6,133.666666666667,227,5.5,152.5
3600,681,1202,412,100,138,7,103,0.0654176657336204,5.62282239787,1053.5,1514.5,433.6,132.333333333333,204.5,6,127
3500,1321,2060,631,159,260,9,145,0.0697517571285697,5.6351155565,1173,1631,516.4,143.333333333333,199,8,124
3400,1322,2148,740,209,345,7,159,0.0517394186898499,5.23792530992,1220.75,2104,592.8,156,302.5,8,152
3300,1184,1913,628,75,142,4,107,0.0779694236931556,5.47155786811,1127,2030.5,617,147.666666666667,243.5,5.5,133
3200,1187,1495,465,162,261,7,123,0.0806373836025928,5.54360622491,1253.5,1704,575.2,148.666666666667,201.5,5.5,115
3100,1353,1833,643,157,246,6,203,0.0540874956485765,6.0464519043,1261.5,1664,621.4,131.333333333333,253.5,6.5,163
3000,1225,1727,641,201,323,4,162,0.0524851839256708,6.51079162259,1237.25,1780,623.4,173.333333333333,284.5,5,182.5
2900,1549,1956,580,217,351,8,210,0.0505640628394069,6.37326568264,1328.5,1841.5,591.4,191.666666666667,337,6,186
2800,1043,1522,520,221,315,6,165,0.04464340903549,5.98644951375,1292.5,1739,569.8,213,333,7,187.5
2700,1486,1906,540,177,408,16,202,0.0561903978569016,5.75003229438,1325.75,1714,584.8,205,361.5,11,183.5
2600,1254,1451,466,229,304,3,130,0.0503482981801137,4.95345970662,1333,1678.5,549.4,209,356,9.5,166
2500,1878,2575,846,274,461,15,255,0.0454783133867684,5.1071334805,1415.25,2013,590.4,226.666666666667,382.5,9,192.5
2400,759,1338,494,171,303,5,123,0.0750871901190467,4.88614047241,1344.25,1956.5,573.2,224.666666666667,382,10,189
2300,1704,1917,615,228,431,11,238,0.11877291568107,4.89037312486,1398.75,1627.5,592.2,224.333333333333,367,8,180.5
2200,1383,2232,707,259,460,12,237,0.132116786995105,5.09477694702,1431,2074.5,625.6,219.333333333333,445.5,11.5,237.5
