"yearsBP","conMW","decMW","wetwMW","wetmMW","pasMW","araMW","heaMW","SPD","clim","conMWs","decMWs","wetwMWs","wetmMWs","pasMWs","araMWs","heaMWs"
9000,1.44381302958663,1.08419184758338,0.185347584695411,0.0697036144592067,0.0934307031173622,0.0187792798822112,0.184157379631471,0.00863633522600947,0.137820766339,0.945553685678693,1.02699518874339,0.159543417377995,0.0784580505531577,0.183816947946552,0.00891870653120957,0.209793305871142
8900,0.657690306481397,1.08650412676367,0.165650305053243,0.0511195004404671,0.207860278381737,0.00592776810613277,0.193381658707636,0.00954189349021869,0.369234643123,0.907550639031455,1.078452276852,0.164479056613104,0.0778596852308065,0.15064549074955,0.00947503943517041,0.211400596158131
8800,0.975152069725448,0.83767083435931,0.263356402700288,0.110622087263003,0.0634334318946498,0.00118483412322275,0.153971018481703,0.00942361334843759,0.124330884985,0.990060449713904,1.0451728018113,0.189083153829843,0.0854516034801536,0.135646855138193,0.00873301145235351,0.217008621484621
8700,1.19770223276411,1.73190695795917,0.222788121460007,0.111849438352768,0.252966430688306,0.00995287157858984,0.266419212677443,0.00867320956298699,0.0657963768521,1.06073890861448,1.15502607654365,0.207697636536679,0.0838979896117648,0.158199931291478,0.00844515902429916,0.220553836923426
8600,1.22600513551486,1.21850450315685,0.220388869947365,0.141868377829052,0.171473335208239,0.00142247510668563,0.196372175475896,0.00705621835570299,0.18848581744,1.06596890512811,1.14827718726732,0.211506256771263,0.0918302851605348,0.212219882948273,0.00804352555614844,0.222990814131688
8500,0.602869856892315,0.74015099786479,0.424176897102322,0.0910812912972429,0.047940962003732,0.000946073793755913,0.0987551463796785,0.0158664291282253,-0.150917540127,1.01209661669824,1.17593863840429,0.259272119252645,0.0934013779590093,0.109707148605986,0.0066352024308516,0.20239238028628
8400,0.488687782805429,0.310708898944193,0.0165912518853696,0.0120663650075415,0.0723981900452489,0,0.0422322775263952,0.0172664128701778,0.14362841983,1.00956408777867,1.00137688094734,0.22946030861907,0.0908563206210932,0.0601695760244905,0.00617581308041166,0.183377763348797
8300,1.22490841731864,1.00305785028012,0.561302609918445,0.137910687176562,0.145897753494209,0.00360476232715374,0.225960134456387,0.00836142243236807,0.36133237846,0.977103603886103,0.989786309904015,0.289049550062702,0.0907776702282304,0.109147971769729,0.00522725811471898,0.170156125417076
8200,0.841426012862241,0.734946735934056,0.615850161333218,0.0642070351791458,0.046109339885244,0.00147710487444609,0.133685969778662,0.00753249166091292,0.00415688336185,0.901805226795555,0.939563825499784,0.367661958037344,0.0900905978182228,0.0960035466897265,0.00306448623874834,0.163847199185475
8100,1.35687841640744,1.11078107108519,0.289504098498542,0.0822412077093706,0.0975155078240003,0.00229309903786419,0.15817563584387,0.00249540776675514,0.118606024626,0.98920374053631,0.978579573603482,0.381485003747579,0.0939808112268358,0.0718124238546222,0.00261015260521477,0.159446446327504
8000,1.05938013262521,0.647795606028384,0.539790446819312,0.0972062601741608,0.0997140335703856,0,0.131683377635683,0.00270294515321807,0.0239496059573,0.99973224839878,0.823706523327655,0.404607713690977,0.0923038328407305,0.098614770697193,0.00246204833981192,0.156660491221752
7900,0.772081087544798,1.08048101227926,0.752831754102163,0.11038652204243,0.0975706612044434,0.00235294117647058,0.11737636843542,0.00366503977757405,1.52840553542,0.946529605246366,0.803988881773714,0.551855814134336,0.0921209683019382,0.0986423473874145,0.00151205703954702,0.138030135691499
7800,1.24466015971021,1.04771646097281,0.420895106690666,0.114271905314601,0.0757943534671453,0.00438393012951748,0.259513646299632,0.0151229297240699,1.47494088972,0.948861483270785,0.847926805074859,0.52377431348878,0.0886714092376318,0.0866825073357944,0.001882238917401,0.145922819544466
7700,0.996019119269427,0.651056685022988,0.470193681705506,0.0922097546345161,0.057232049437454,0.00297176820208024,0.169789094729281,0.022942651214167,2.12937581327,0.998005141067924,0.89654791737183,0.494643017563238,0.088812467154791,0.0665132014522997,0.00213545071844154,0.154802063088166
7600,0.856226406354942,1.1809510293941,0.671099441343657,0.0854430390254256,0.116215747217489,0.00534809002550938,0.158362307493662,0.0178593958472747,2.17002471368,1.04394746901161,0.921961228673827,0.570962086132261,0.0979845514070265,0.0867238983274715,0.00280396197163021,0.169318316834075
7500,0.497121842561576,0.705975007520729,0.254450750213792,0.0476188866617768,0.0503855007115116,0.00147710487444609,0.0476188866617768,0.00360076851600782,1.91833295278,0.95297414716698,0.917822410329066,0.513894146811157,0.0866980763426784,0.0833006239645003,0.00253800479004176,0.147025660859748
7400,0.885922242948705,0.99755364272134,0.676559456459427,0.0735115020155545,0.108559811276743,0.00474478681096808,0.192720375877823,0.00140623206277439,1.69573606928,0.958536175927788,0.901647063419945,0.498639687282609,0.0878611346972294,0.0794726559941273,0.002946465032107,0.154404961622144
7300,0.695762241707323,0.952061924266436,0.452205863053033,0.100817422519147,0.0442528787796921,0.00445684488910701,0.0830869367492257,0.0140057406517499,1.87870918864,0.875896654090274,0.945113680311095,0.504901838555083,0.0901831615484515,0.0764063450282176,0.00321693326351236,0.145018874235313
7200,0.799534877072507,1.18676433304661,0.663554272926948,0.108775608123355,0.138430781561726,0.00130208333333333,0.175968058703596,0.00410824031111522,1.96451534076,0.843415997146186,0.960297011849288,0.543573956799371,0.0916293300421008,0.0913418301707091,0.00337969368017902,0.150554459368802
7100,0.64385705882967,0.897792762190353,0.517049327484554,0.0811666145053903,0.0558022265601132,0.00648105684221253,0.0640829569435492,0.00684536314764795,2.13760476784,0.827387993556795,0.938879340594651,0.512763934027551,0.0879768415999708,0.0971165040609196,0.00389570813839677,0.143892782932318
