"yearsBP","conN","decN","wetwN","wetmN","pasN","araN","heaN","SPD","clim","conNs","decNs","wetwNs","wetmNs","pasNs","araNs","heaNs"
9000,1.25414826934306,5.00565671739743,0.23863311182982,0.215584648988784,0.336682003470821,0.0196030209788457,0.295285039685578,0.0149869653826892,-2.10882840801,0.843513809080351,3.7322182344359,0.249675987522779,0.215299516322137,0.329185974949101,0.0182165431691616,0.224149101065703
8900,1.14863429862772,4.66213434799936,0.193753747498305,0.187761835674727,0.339469288420085,0.026748831281329,0.290568624314899,0.0233540059206281,-1.79537629138,0.935508283047194,3.83747426496341,0.234024097632267,0.20340464150439,0.314516708147145,0.0231759261300876,0.246273183238141
8800,0.580293734955542,1.40008866597302,0.108975042858479,0.0849057993281459,0.245983848520328,0.0069438719299692,0.168711306394215,0.0226602105745247,-2.03688515597,0.918953259005686,3.55766585217434,0.180453967395535,0.166095825388115,0.287614870014197,0.0168463516056493,0.23218809615975
8700,1.32203846225172,4.42081360323095,0.224491173836135,0.232011221234488,0.451325086138275,0.017960542040534,0.317068636376136,0.0294047826006765,-2.41174676551,1.08226118998922,3.70006305401339,0.175739988064306,0.176922617656996,0.315565269462135,0.0124522069852518,0.247546084143032
8600,2.08001667623078,4.28993366753767,0.19757920771919,0.176148355399311,0.270634447331781,0.0157181961699546,0.241765539014265,0.0358279396866661,-2.21508703892,1.15720545994832,3.62582651759415,0.177015141471268,0.172184595194124,0.326870962246798,0.0168393691052445,0.264892999023078
8500,1.89275302323068,4.99999493025816,0.350059188480823,0.394673060020805,0.55919344499945,0.0318002879616418,0.538160568890908,0.0537241246546632,-2.55536785893,1.37964741077325,4.06040709135941,0.257376523345383,0.210684393963231,0.329832376254677,0.0237592420657984,0.273646239027082
8400,0.645374531006623,2.24760275198481,0.136373685948625,0.0699189215422985,0.10629846072861,0,0.1956553341633,0.0247216733581259,-2.38742016114,1.27818512105051,3.53536827043373,0.228004027382879,0.184679654174952,0.329940939944193,0.0159001439808211,0.292459292691329
8300,2.13077450830277,4.26391810640483,0.301100987784756,0.301476717525625,0.509342064468027,0.0242849282396013,0.53676443945196,0.028043472799919,-2.35642854651,1.44187515599635,3.91126784884828,0.262511287404735,0.207810069964273,0.354606662943794,0.0121424641198009,0.326956349800812
8200,1.95899200267676,3.48999417179264,0.228670160627732,0.224982911220417,0.219069408719832,0.0162380814533851,0.400119108849295,0.0231570457804247,-2.38810345149,1.67165820061656,3.72181003064768,0.222048278120371,0.208984852743227,0.337406680129472,0.0202615048464934,0.342606419020011
8100,1.38027411750264,3.34862861819308,0.49356181910004,0.22651828732337,0.315920647871787,0.0161410544420255,0.439712578023108,0.0423477739825084,-2.55291640232,1.68136414315838,3.5576218144219,0.341110989170843,0.213829409199308,0.347397651465395,0.0161895679477055,0.381320886395567
