"yearsBP","conSM","decSM","wetwSM","wetmSM","pasSM","araSM","heaSM","SPD","clim","conSMs","decSMs","wetwSMs","wetmSMs","pasSMs","araSMs","heaSMs"
5000,998,2747,8385,20,157,19,312,0.229421752521631,5.51490249122,610.375,1956.66666666667,3733,15,114.833333333333,15,157.5
4900,154,516,943,1,7,1,672,0.271340323254892,5.37966896516,562.625,1674.16666666667,3650.5,12.5,89.6666666666667,10,492
4800,296,572,425,8,20,3,602,0.275277332060325,5.48078802083,477.625,1719.5,2585,13.5,91.3333333333333,2,637
4700,229,1636,3976,10,130,6,189,0.226055927863505,6.0213224197,428.125,1653.83333333333,3432.25,11,95.1666666666667,4.5,395.5
4600,277,665,456,5,22,4,1006,0.21210829680677,6.06385072427,452.375,1305.66666666667,1450,7.66666666666667,75.1666666666667,5,597.5
4500,978,2454,2242,21,187,14,365,0.201818990919839,5.63421767299,520.75,1431.66666666667,1774.75,10.8333333333333,87.1666666666667,9,685.5
4400,356,667,1477,4,23,0,217,0.196051203829478,5.89558679987,431.125,1085,2037.75,8.16666666666667,64.8333333333333,7,291
4300,248,1573,1054,6,178,29,390,0.160604044771409,5.36477124794,442,1261.16666666667,1307.25,9,93.3333333333333,14.5,303.5
4200,364,1899,1261,19,244,40,195,0.160039681798992,5.38092078204,362.75,1482.33333333333,1508.5,10.8333333333333,130.666666666667,34.5,292.5
4100,112,236,587,0,7,2,281,0.203835778139881,5.41144853644,357.5,1249,1094.75,9.16666666666667,110.166666666667,21,238
4000,1032,2638,1426,28,366,42,84,0.239156690384321,5.78708241525,449.5,1577.83333333333,1082,13,167.5,22,182.5
3900,459,2143,1315,16,324,30,159,0.234457127991959,6.13402542532,478.25,1526,1147.25,12.1666666666667,190.333333333333,36,121.5
3700,488,2118,1297,18,347,40,94,0.268205784895791,5.69406848213,504.625,1767.83333333333,1156.25,14.5,244.333333333333,35,126.5
3600,1170,2920,1261,27,291,41,118,0.244045730237264,5.74188040076,528.625,1992.33333333333,1324.75,18,263.166666666667,40.5,106
3500,83,248,507,1,5,4,217,0.268661007627017,5.93718566963,494.5,1717.16666666667,1095,15,223.333333333333,22.5,167.5
3400,224,353,103,4,35,1,15,0.423885242610624,5.52886622864,491.5,1736.66666666667,792,15.6666666666667,228,2.5,116
3300,485,2075,1551,25,391,56,348,0.373931180169862,5.61009780757,506.625,1642.83333333333,855.5,15.1666666666667,232.166666666667,28.5,181.5
3200,1273,2503,1022,42,532,73,126,0.329765822624567,5.9645889664,651.75,1702.83333333333,795.75,19.5,266.833333333333,64.5,237
3100,672,2180,1146,56,619,56,211,0.318833599060141,6.15490980388,606.75,1713.16666666667,955.5,25.8333333333333,312.166666666667,64.5,168.5
3000,442,1954,896,39,641,64,285,0.335179458651335,6.45994844133,604.625,1552.16666666667,1153.75,27.8333333333333,370.5,60,248
2900,1209,2991,1245,58,825,80,323,0.408200484635033,6.50814527658,694.75,2009.33333333333,1077.25,37.3333333333333,507.166666666667,72,304
2800,590,2026,774,41,631,58,46,0.411267610286886,6.08352896082,622.25,2288.16666666667,1015.25,43.5,606.5,69,184.5
