"yearsBP","conMM","decMM","wetwMM","wetmMM","pasMM","araMM","heaMM","SPD","clim","conMMs","decMMs","wetwMMs","wetmMMs","pasMMs","araMMs","heaMMs"
9000,2.27228697702847,1.53499084295059,0.724138657454217,0.0432911266144393,0.058387380106928,0.00352131525343761,0.0720661829613514,0.00494154701439289,-1.33172783922,2.27662800089135,1.34071621766306,0.548433715823793,0.0484487082700981,0.0569293617525572,0.005050497707221,0.0630476319018702
8900,1.19226507589164,1.70790901750485,0.749563783329404,0.0387737748142066,0.0485141955471916,0.00145137880986938,0.026266651871489,0.00610236782204804,-1.12885675919,1.91740604253195,1.44336830672892,0.675470950509338,0.0489507934554671,0.0591973230756948,0.0040998642932269,0.0540824920469566
8800,2.07850939335371,1.66147225830033,0.516095731238361,0.0456473557352242,0.0488989744856698,0.00833578964393128,0.123383830466974,0.00628192536082522,-1.34145556561,2.02298512698955,1.59571621545988,0.643222792466378,0.0450196469343515,0.0519335167132631,0.0038644579707009,0.0739055550999381
8700,2.54253755891541,2.035524672441,0.920345683246081,0.0520883850405987,0.0520529555765108,0.0051887134047839,0.0559931117123316,0.00560430075439038,-1.518478599,2.19820688803103,1.74775984601298,0.727535963817016,0.0434973257032191,0.0498220418697907,0.0043681552577992,0.0685478646835982
8600,1.88115144928218,2.08244452929395,0.651925851901112,0.0395983486068344,0.0548159213010697,0.00273718602974401,0.0656264902588117,0.00575394806546034,-1.49264369422,1.99335009089428,1.80446826409814,0.70948276242874,0.0420780179647254,0.0519226171210834,0.00424687662835324,0.0816678108127058
8500,2.24411746373189,2.82909260214946,0.927667732980439,0.0520071749414204,0.0883776929792837,0.00755791145056935,0.114178226231092,0.00788444019725348,-1.79263146861,1.98771618823497,2.06328861593792,0.754008749841498,0.0443723748665986,0.0650821899522881,0.00505419586777958,0.0785992760674118
8400,1.26186145144942,1.80810108854177,0.601285755531353,0.0351025394380522,0.0352793254808444,0.00479229256285642,0.0706044266762738,0.00719632929353819,-1.49917984011,2.00163546334652,2.0833270301453,0.775306255914746,0.0457301627462833,0.0594909799203993,0.00572237861837699,0.0834697143887258
8300,2.46625314156084,2.80901986102129,0.788905282665445,0.0717641181070206,0.10238855302952,0.00372696471663376,0.143325425670154,0.000829145808833945,-1.23225066205,2.07918421298795,2.31283655068949,0.742446155769587,0.0472841029122246,0.0753485238298827,0.00480061363291749,0.10936935952584
8200,2.58446541935037,3.06458616665969,0.788063114771112,0.0651105741303041,0.0773394328997646,0.00676347441993145,0.103624131697526,0.000270202083111181,-1.61022324807,2.08756978507494,2.51864884953323,0.776480471487087,0.0500115338517077,0.0716691038033763,0.005115565835947,0.105851328014651
8100,2.77325849803671,3.35260371552775,0.995852903104257,0.0653405566733954,0.075884728422739,0.00419043955809133,0.117970439803841,0.00413907431266806,-1.63756738332,2.26599119482585,2.77268068677999,0.793526764018042,0.0533323815841062,0.0852042381173412,0.00540621654161646,0.121639999057174
