"yearsBP","conSE","decSE","wetwSE","wetmSE","pasSE","araSE","heaSE","SPD","clim","conSEs","decSEs","wetwSEs","wetmSEs","pasSEs","araSEs","heaSEs"
3900,2103,4264,982,95,97,23,61,0.00656694179988931,1.19213099056,1771,4121.25,1012.5,88.5,70.5,23,44.5
3800,2088,3999,912,77,87,20,48,0.00739437654207166,0.461783987819,1804.5,3823,1062.875,93,92,20,42.5
3700,2050,3911,957,85,81,16,36,0.00753855601314262,1.0076889501,1888,3785.25,1084.75,85.875,84,16,43.5
3600,2133,3662,648,55,95,9,19,0.00536742475993976,1.1341718176,2093.5,3959,964.25,82.375,88,9,39.375
3500,1627,2746,754,30,92,17,112,0.00522633584320795,1.14403548565,1974.5,3579.5,927.625,74.25,93.5,17,48
3400,3044,4125,1064,405,165,22,41,0.00908502406210605,0.753188005646,2213.5,3611,860.125,106.125,128.5,22,48.125
3300,3168,3229,781,260,195,13,59,0.00645615832206989,0.570835434493,2493,3440.5,834.125,132.625,180,13,49.75
3200,3946,3071,1028,93,107,16,30,0.00636146830722063,1.12910891518,2946.25,3292.75,890.75,137.5,151,16,50.75
3100,5001,3170,1629,69,103,15,93,0.00743261600464872,1.34707622624,3789.75,3398.75,971.625,134.25,105,15,54.75
3000,2927,3194,1102,50,77,15,82,0.00876268272930641,1.3959260289,3760.5,3166,995.375,130.875,90,15,59
2900,2173,2370,585,98,61,14,77,0.0127551406768617,1.54539127374,3511.75,2951.25,948.875,132.5,69,14,64.125
2800,3256,2513,942,28,53,12,130,0.0171676279213242,1.06129908571,3339.25,2811.75,985.625,129.125,57,12,78
2700,4000,3158,806,56,61,28,107,0.0178293949333645,1.09489632957,3089,2808.75,992.125,132.375,57,28,77.375
2600,3930,2562,1055,114,37,19,126,0.0156822083239209,0.607223373035,3339.75,2650.75,991,96,49,19,88
2500,2832,2241,505,18,35,16,79,0.0160439679006439,0.75100492029,3504.5,2618.5,956.5,65.75,36,16,90.5
2400,5318,3756,1044,72,75,25,323,0.0152431870654113,0.557251716912,4020,2929.25,958.5,63.125,55,25,127.125
2300,3035,2371,988,22,33,14,149,0.013765516236738,0.474923496441,3778.75,2732.5,878.375,57.25,54,14,134.125
2200,4749,4869,2187,137,242,27,285,0.0110029341417266,0.774042412176,3983.5,3309.25,1014,68.125,137.5,27,159.5
2100,2439,2793,1386,67,65,20,126,0.0107193229749114,-0.169135152895,3885.25,3447.25,1114.125,64.25,153.5,20,165.625
2000,2147,1835,603,26,30,17,33,0.010178485801358,0.71256652319,3092.5,2967,1071.75,64,47.5,17,153.5
1900,2371,1734,866,72,76,29,63,0.00974396925235503,0.590449020162,2926.5,2807.75,1079.25,66,53,29,148
1800,3002,2510,881,84,65,29,63,0.00962969606178288,0.971954031435,2489.75,2218,1057.5,62.25,70.5,29,140.125
1700,4504,2998,1099,45,78,30,114,0.00924257419598311,1.09106998203,3006,2269.25,1131.75,65.625,71.5,30,144.5
1600,3303,1302,746,68,64,17,52,0.00964597402691263,1.17233803164,3295,2136,1094.5,65.125,71,17,110.625
1500,4314,2350,1346,79,101,23,109,0.0107311081132514,1.11827674573,3780.75,2290,1139.25,72.25,82.5,23,105.625
1400,3893,3138,2640,193,285,36,98,0.0152449085861521,0.543391865483,4003.5,2447,1195.875,79.25,193,36,82.25
1300,5285,3074,1239,271,479,104,874,0.0220050327166364,0.642631621762,4198.75,2466,1177.5,104.75,382,104,175.75
1200,5567,3829,1222,389,600,116,2823,0.0175428837216207,0.730764516257,4764.75,3097.75,1254.875,150.125,539.5,116,524.5
1100,5055,3463,1190,347,471,59,867,0.0177046735702759,0.443562247949,4950,3376,1295.375,184.5,535.5,59,625
1000,4813,3816,1060,198,267,46,225,0.0207923956267894,0.597915894449,5180,3545.5,1317.75,198.75,369,46,645.25
900,5670,2999,1453,150,370,305,207,0.023484700641779,0.52034808172,5276.25,3526.75,1362,211.875,318.5,305,656.875
800,3275,2125,940,123,272,110,285,0.0231119944654216,0.473534967978,4703.25,3100.75,1386.25,218.75,321,110,686
700,3349,2982,906,165,353,293,394,0.0197673891406911,0.378717948271,4276.75,2980.5,1331.25,229.5,312.5,293,721.625
600,5778,2916,3001,216,622,660,584,0.0249840157793224,0.72217522807,4518,2755.5,1376.375,232.375,487.5,660,782.375
500,4565,2585,1965,254,696,831,881,0.0264140939832382,0.928623817633,4241.75,2652,1467.125,230.25,659,831,783.25
