"yearsBP","conSE","decSE","wetwSE","wetmSE","pasSE","araSE","heaSE","SPD","clim","conSEs","decSEs","wetwSEs","wetmSEs","pasSEs","araSEs","heaSEs"
9000,2.84627760216082,3.41266269244013,0.908127216482319,0.351398112633428,0.708243163459246,0.0258091683934662,0.0113619957256514,0.00500132382385769,-0.544984660302,3.51926222775805,2.94520765666988,0.656565257453464,0.408798428193294,0.417833703500604,0.0258091683934662,0.0274566671467603
8900,1.49839627578968,2.60258670243608,0.741654753470275,0.0434782358970592,0.0764323560658729,0.00689105058365759,0.0117821011673152,0.00481648629821418,-0.371049857803,2.72600185043195,2.99851272190648,0.72619566762207,0.408348869790337,0.392337759762559,0.0068910505836576,0.0270216163522181
8800,3.69909303286276,3.84528178948582,1.09967015404708,0.427847630016755,0.271017000808594,0.0177164851353248,0.0290434107990632,0.00482875265368701,-0.593811757306,2.62547805683716,3.19817540792952,0.784342500278353,0.431748981346666,0.173724678437233,0.0177164851353248,0.0266658036493913
8700,2.8509141159319,3.47748353415927,0.947471820226634,0.131755624966915,0.395669080958572,0.00742122446470782,0.0216345273791486,0.00492524471477712,-0.883774918138,2.72367025668629,3.33450367963032,0.851380240457707,0.373195202453791,0.333343040883583,0.00742122446470783,0.0247713357428141
8600,2.50286838823041,2.59814428247331,0.642176667908934,0.0916340280383206,0.0657176914337814,0.00383729571826965,0.0221439737002576,0.00523249789174618,-1.05493861239,2.63781795320369,3.13087407713862,0.851117455166906,0.252371275090909,0.230693386196177,0.00383729571826966,0.0221906900651153
8500,3.32635975583785,3.56885906300821,1.09120086578396,0.268028567870618,0.115549368912439,0.0227422054107669,0.0213690546922934,0.0072027093586989,-1.24637883823,3.09480882321573,3.37244216728165,0.892397085339127,0.252790322420767,0.0906335301731101,0.0227422054107669,0.0223838232353218
8400,1.62721773773675,2.49605252207547,0.755709099982039,0.0311665053968152,0.0638252035603956,0.00495907664987225,0.00951185750585222,0.00802179566923395,-1.0703911513,2.57683999943423,3.03513485042907,0.877091587459465,0.235825364742061,0.0896872862364172,0.00495907664987226,0.020308603811138
8300,2.71675831440228,3.08253893174163,1.28203661991528,0.179697912684171,0.135945191571123,0.0207961718376282,0.0298680799261593,0.0095244128246184,-0.853440247085,2.54330104905182,2.93639869982466,0.933505899727065,0.19062582718801,0.0998851975657592,0.0207961718376282,0.0195893751119676
8200,2.91966245865507,4.44195000940245,1.17783020182461,0.065349314431672,0.216298984802591,0.0155673573357356,0.0141499339211706,0.0088384292478837,-1.04746551781,2.64749956665799,3.39735013155694,0.967218772894852,0.154869727412791,0.176122088186857,0.0155673573357356,0.0199378673864075
8100,2.45323515961685,3.12760697109817,0.641351793768542,0.146221439200479,0.0477573685059916,0.0180693312759419,0.018329268014817,0.00837555493418671,-1.23846850097,2.42921841760274,3.28703710857943,0.954680902932135,0.167712627825718,0.132028176654291,0.0180693312759419,0.0207562632423452
8000,2.22117448511965,2.59564064494824,0.868525759370836,0.0892206161000893,0.0823791371947843,0.0184841628985021,0.00943014764152884,0.00838105703127126,-0.991120225452,2.57770760444846,3.31193413929762,0.925787853597605,0.125384251086135,0.0650682528503879,0.0184841628985021,0.0183046053476534
7900,1.55176233587639,0.941022845299831,0.390894426535974,0.0419403708609411,0.0099949835184051,0.00359066143180196,0.00155400155400155,0.00586430412933272,-0.359731129329,2.28645860981699,2.77655511768717,0.856215679386272,0.114157344322888,0.0461870603565946,0.00359066143180197,0.0157945396195101
7800,1.94455613819647,1.85547996806221,0.526497006745732,0.0958656003252824,0.0437921891047615,0.0135437674586778,0.00537293420902565,0.005396446613873,-0.0773111177256,2.04268202970234,2.12993760735211,0.841755721740872,0.114686290858758,0.0268935863115832,0.0135437674586778,0.0136981596831061
7700,2.95812022187809,3.69683010456299,0.886924362184462,0.106167578250739,0.14878051697951,0.0119201733266004,0.0426800680344112,0.00471233139707818,0.218759448132,2.16890329526765,2.27224339071832,0.816221158790935,0.0944536671562735,0.0962863530421356,0.0119201733266004,0.0163620363508708
7600,1.48940802673565,3.78314137723471,0.808923543031215,0.144247365477146,0.0848106674418303,0.00627823537357455,0.00696983412300695,0.00456230667810437,0.331832431993,1.98596168067165,2.56911857378994,0.822872964172082,0.108588774666315,0.11679559221067,0.00627823537357456,0.0160442834280151
7500,2.66528858890122,2.32228216781906,0.668542891275839,0.0567253077603343,0.0614509216826261,0.00969303500576104,0.00863898587373728,0.00526989667514724,0.0902570706716,2.26434324392786,2.91443340441974,0.746186248092152,0.0932171990508353,0.0731307945622281,0.00969303500576105,0.0133906466714624
7400,2.34099776575106,1.77932854701778,0.628191295568633,0.0615447681342434,0.0536313719449481,0.00491270782312698,0.0263113473772615,0.00554070103540826,0.0382406403274,2.36345365081651,2.89539554915864,0.677481384810154,0.0927416307636567,0.057541146813787,0.00491270782312699,0.0149108233534737
7300,2.09928154006608,3.42842875143351,0.720917453357892,0.111932639723654,0.10165827814121,0.0219387269345999,0.00945276197194659,0.00642639014476465,-0.00342616516306,2.1487439803635,2.82829521087627,0.687427092258823,0.0884555308290536,0.077644825043079,0.0219387269345999,0.0138012600981149
7200,0.725216294197687,2.44086746203678,0.461963505176724,0.200996104354945,0.132374574552524,0.00485130215869337,0.00461601925075451,0.00671276913181678,0.142856551539,1.95769604722901,2.49272673207678,0.636606810484559,0.102427466860911,0.117016426346867,0.00485130215869338,0.0131994940492682
