"yearsBP","conSW","decSW","wetwSW","wetmSW","pasSW","araSW","heaSW","SPD","clim","conSWs","decSWs","wetwSWs","wetmSWs","pasSWs","araSWs","heaSWs"
9000,2.61861634968872,4.02988545773256,0.786881363061315,0.121651287954084,0.423073330352773,0.0103705615483297,0.235835553141694,0.0168851536862363,1.79808856201,2.19697263498003,3.87785233330496,0.398625360246923,0.146907144423892,0.476827712132472,0.00767730825704827,0.210801564527614
8900,1.39533337434345,1.846392813059,0.334052639471055,0.0973320016335721,0.311265325624102,0.00473186119873817,0.249474130002587,0.00860750970558078,1.82429955037,1.95327910846723,2.93813913539578,0.458174534142273,0.125327610929051,0.367169327988437,0.00755121137353393,0.24265484157214
8800,1.33563647673106,2.19417129829191,0.316423082860071,0.0850617703552463,0.227398651450516,0.00388805115274881,0.246121267529289,0.00834711826251425,1.61649846056,1.76012166706466,2.02028205567546,0.469994229050096,0.101348353314301,0.269331988537309,0.00430995617574349,0.247797698765938
8700,2.61283519279879,4.1544626191938,0.778617225145605,0.195737649318259,0.465138941813084,0.00817322570538008,0.467441226750611,0.00749268750629348,1.6243236084,1.99060534839051,3.17431695874286,0.570055047853278,0.126043807102359,0.3462687966318,0.00603063842906444,0.35678124713995
8600,2.11004118864138,2.65539663681605,0.617124703585063,0.165977393826525,0.531065818175814,0.0112372577208787,0.430621378368983,0.00465416633017887,1.67694050768,1.86346155812867,3.40492962800493,0.566619802824622,0.14892560450001,0.498102379994449,0.00970524171312939,0.449031302559797
8500,2.2525310544184,3.51353728104742,0.97357144161323,0.135453551227226,0.437037194099119,0.0110919838258621,0.49234719321944,0.00129434179406653,1.33213326009,2.07776097814741,3.08446695893174,0.603957818535005,0.16572286479067,0.484051506137466,0.0111646207733704,0.461484285794212
8400,1.83332270818397,1.75732868391272,0.406896587851917,0.0791014269440778,0.234877429128551,0,0.296778012994575,0.00425102362309887,1.69374794515,2.20218253601063,2.63543298248007,0.618526608211177,0.126844123999276,0.335957311613835,0.00554599191293105,0.394562603107008
8300,1.47607238355756,2.43272934239798,0.675776517716545,0.103117743121895,0.328224995062882,0.00648846323835331,0.279835996390382,0.0138359486548612,1.97931821696,1.91799183370033,2.09502901315535,0.690397295182472,0.105890907097733,0.281551212095716,0.00324423161917665,0.288307004692479
8200,1.83628912422584,3.4230638505217,0.935872895941898,0.132646736914298,0.400315667736466,0.00178412132024978,0.292329808229467,0.00651147973739423,1.53901919556,1.84955381759644,2.92789659645984,0.721848429341731,0.104955302326757,0.364270331399674,0.00413629227930154,0.286082902309925
8100,2.51026723881792,2.77452680851661,0.817388264188713,0.143638260348435,0.431181571497553,0.00363404841715387,0.358933355692589,0.0141753400277811,1.63801669312,1.91398786369632,3.09879532951916,0.761901141462461,0.126467580128209,0.415748619617009,0.00270908486870182,0.325631581961028
8000,1.58889131041113,3.110569766877,0.676167077803221,0.0917107378727175,0.361145953098487,0.00528317039295975,0.232700330982591,0.0143366473911817,1.56875050524,1.85288001425311,2.94254828769681,0.702420268700459,0.12266524504515,0.39616376229802,0.00445860940505681,0.29581684333759
7900,1.67722114508793,2.95525701915569,1.04397057889082,0.0782483954043629,0.22538612157926,0.00509408735682459,0.186079490159341,0.0203518724934328,3.14808091566,1.9031672046357,3.03291339301635,0.829835066908239,0.104532464541838,0.293266037338873,0.00518862887489217,0.209389910570966
7800,2.37315581210301,3.19846563770547,0.822772130413281,0.134127299586174,0.325563189655199,0.00410716747350411,0.298438411849731,0.0165915700540482,3.07099790446,2.037383876605,3.07686132843058,0.859234189447587,0.101362144287751,0.275474655617229,0.00460062741516435,0.242258951004536
7700,1.38821463223172,2.68960749134178,0.885844368480266,0.0851987628972415,0.160238233969429,0.00300524059933728,0.145980176013565,0.0171308291103068,3.64847040473,1.75687072495845,2.94403656452363,0.84922848395526,0.0991914859625928,0.242900711812314,0.00355620403642069,0.222209293931648
7600,0.789814438361541,1.61970519860131,0.538633250260834,0.071344132482863,0.243921762453478,0.00345174389368339,0.0957569588923515,0.0154044208225374,3.76321331109,1.55710150694605,2.15465634497155,0.793477481169684,0.0968900649887595,0.202079998211453,0.00322849224651033,0.120868567452958
7500,1.56871833725205,2.37162336333686,0.849880671832211,0.0597459126817746,0.245680124926169,0.00408306933916934,0.149031055584584,0.00248321486973078,3.6620255839,1.52997580498708,1.99566428096909,0.828220199975482,0.0720962693539597,0.244800943689823,0.00376740661642636,0.122394007238468
7400,2.34024951523514,3.34083275653906,1.09377086148778,0.102609103771093,0.179492883743365,0.0018724158553008,0.207708456033951,0.00459033914724511,3.38378448147,1.52174923077011,2.85622805993796,0.838180256494874,0.0778997163119102,0.212586504334767,0.00297774259723507,0.178369755809268
7300,1.11762589363285,2.04146660761545,0.696503613670148,0.0993376568484675,0.204153329717342,0.00328160337680262,0.127683621681344,0.016856181724255,3.44974693807,1.45410204612039,2.69114968207726,0.812926553146248,0.0872308911004451,0.191823106730353,0.00257700961605171,0.167696038857648
7200,1.14509125744524,1.89939047484508,0.717580144899722,0.112356951495366,0.262092365673164,0.00420527117068862,0.158378568586331,0.0341071632060163,3.39248731486,1.54292125089132,1.97042854123027,0.779273708430139,0.104767904038309,0.233122847695253,0.00374343727374562,0.143031095133838
7100,1.0593002355444,1.61009986345174,0.587022826092052,0.0370271923013662,0.146631301647114,0.00116144018583043,0.122899173715847,0.0343895253490219,3.83529489814,1.41556672546441,1.75474516914841,0.788951623596383,0.0829072668817333,0.204361833660139,0.00268335567825953,0.140638871151089
